order_id,customer_id,order_date,product_id,product_name,category,quantity,price,discount
1309,C159,2025-02-17,P201,Jeans,Clothing,2,40,nil
1014,C081,2025/04/01,P301,Sofa,Home,1,500,50
1415,C151,"Nov 15, 2026",P201,Jeans,Clothing,3,40,10
1033,C148,2025-08-26,P204,Sneakers,Clothing,4,75,0
1461,C167,2023-12-03,P403,Magazine,Books,3,10,5
1156,C159,2026-10-31,P204,Sneakers,Clothing,4,75,20
1250,C153,not_a_date,P101,iPhone 13,Electronics,5,800,10
1218,C119,02-28-2026,P403,Magazine,Books,5,10,10
1222,C074,2023-06-07,P103,Noise Headphones,Electronics,5,120,30
1294,C084,2026/03/29,P303,Lamp,Home,2,35,30
1133,C172,2023-08-03,P202,T-shirt,Clothing,3,20,50
1466,C192,03-13-2025,P302,Dining Table,Home,1,450,5
1439,C031,2024-04-30,P203,Jacket,Clothing,5,60,30
1180,C145,31-31-2023,P103,Noise Headphones,Electronics,5,120,5
1131,C194,2023-12-25,P404,Notebook,Books,5,5,5
1391,C048,2026-10-24,P401,Novel,Books,1,15,5
1069,C104,2026-11-28,P302,Dining Table,Home,5,450,20
1473,C053,2023-11-15,P303,Lamp,Home,4,35,50
1417,C134,2025-09-16,P304,Cookware Set,Home,4,120,20
1303,C010,2023-10-08,P303,Lamp,Home,4,35,30
1139,C058,2023-08-21,P403,Magazine,Books,1,10,50
1229,C039,2024-11-13,P103,Noise Headphones,Electronics,5,120,10
1322,C106,2024-11-07,P404,Notebook,Books,1,5,30
1102,C070,2026-06-15,P404,Notebook,Books,4,5,10
1206,C174,2026-10-21,P404,Notebook,Books,5,5,0
1378,C005,2025-10-25,P402,Textbook,Books,2,45,5
1119,C022,2024-05-23,P104,Apple Watch,Electronics,5,350,30
1061,C121,2024-03-31,P203,Jacket,Clothing,4,60,5
1091,C055,2025-07-20,P303,,Home,3,35,20
1362,C011,2023-05-30,P203,Jacket,Clothing,5,60,20
1400,C020,09/01/2025,P301,Sofa,Home,2,500,30
1355,C134,2024-03-28,P402,,Books,3,45,30
1052,C184,2024-12-03,P203,Jacket,Clothing,3,60,0
1354,C148,2024-10-15,P303,Lamp,Home,2,35,50
1244,C014,2025-03-22,P304,Cookware Set,Home,2,120,5
1468,C004,2025-01-09,P303,Lamp,Home,2,35,20
1447,C117,2025-09-26,P303,Lamp,Home,5,35,nil
1213,C177,2025-01-11,P103,Noise Headphones,Electronics,4,120,30
1405,C148,2024-05-11,P303,Lamp,Home,4,35,10
1246,C121,2026-11-26,P201,Jeans,Clothing,4,40,0
1237,C185,2025-06-15,P102,Samsung Galaxy,Electronics,4,700,20
1356,C189,2023-12-25,P402,Textbook,Books,5,45,50
1083,C036,2023-11-05,P204,Sneakers,Clothing,4,75,0
1364,C031,07/09/2025,P204,Sneakers,Clothing,5,75,5
1295,C120,2025-10-18,P302,,Home,4,450,nil
1116,C004,2026-03-21,P302,Dining Table,Home,4,450,0
1262,C191,2025-06-19,P401,,Books,3,15,20
1241,C014,2026-08-06,P404,Notebook,Books,3,5,30
1424,C048,2025-01-19,P303,Lamp,Home,2,35,20
1414,C067,2024-03-30,P204,Sneakers,Clothing,4,75,50
1463,C151,2025-02-25,P304,Cookware Set,Home,4,120,10
1056,C140,2023-03-15,P304,Cookware Set,Home,5,120,0
1377,C142,2025-04-22,P101,iPhone 13,Electronics,1,800,10
1259,C081,09-27-2024,P401,Novel,Books,5,15,0
1398,C063,2026-03-17,P202,T-shirt,Clothing,4,20,10
1456,C168,"Jul 06, 2023",P104,Apple Watch,Electronics,1,350,0
1203,C080,10-26-2024,P103,Noise Headphones,Electronics,1,120,0
1268,C008,2023-10-20,P403,Magazine,Books,1,10,50
1189,C141,,P303,Lamp,Home,4,35,20
1163,C057,2026-07-27,P203,Jacket,Clothing,5,60,50
1193,C096,09/11/2023,P404,Notebook,Books,1,5,20
1221,C080,2025-08-03,P403,Magazine,Books,1,10,nil
1319,C114,09-05-2026,P301,Sofa,Home,4,500,10
1457,C152,"Apr 08, 2024",P403,Magazine,Books,1,10,nil
